Award Year,Best_Animated_Film,Country,Studio,Director,Director_Gender,Animation_Style,Budget,Box_Office,Profit,Percentage_difference,Films
2002,Shrek,USA,Dreamworks,Aron Warner,Male,3D,60000000.0,492200000.0,432200000.0,720.33%,1
2003,Spirited Away,Japan,Studio Ghibli,Hayao Miyazaki,Male,2D,19200000.0,395800000.0,376600000.0,1961.46%,1
2004,Finding Nemo,USA,Pixar,Andrew Stanton,Male,3D,94000000.0,940300000.0,846300000.0,900.32%,1
2005,The Incredibles,USA,Pixar,Brad Bird,Male,3D,92000000.0,631600000.0,539600000.0,586.52%,1
2006,Wallace and Gromit: The Curse of the Wererabbit,UK,Aardman,Nick Park,Male,Stopmotion,30000000.0,192600000.0,162600000.0,542.00%,1
2007,Happy Feet,USA,Warner Brothers,George Miller,Male,3D,100000000.0,384300000.0,284300000.0,284.30%,1
2008,Ratatouille,USA,Pixar,Brad Bird,Male,3D,150000000.0,623700000.0,473700000.0,315.80%,1
2009,WALL-E,USA,Pixar,Andrew Stanton,Male,3D,180000000.0,532500000.0,352500000.0,195.83%,1
2010,Up,USA,Pixar,Pete Docter,Male,3D,175000000.0,735100000.0,560100000.0,320.06%,1
2011,Toy Story 3,USA,Pixar,Lee Unkrich,Male,3D,200000000.0,1067000000.0,867000000.0,433.50%,1
2012,Rango,USA,Nickelodeon Movies,Gore Verbinski,Male,3D,135000000.0,245700000.0,110700000.0,82.00%,1
2013,Brave ,USA,Pixar,Brenda Chapman,Female,3D,185000000.0,539000000.0,354000000.0,191.35%,1
2014,Frozen,USA,Disney,Jennifer Lee,Female,3D,150000000.0,1280000000.0,1130000000.0,753.33%,1
2015,Big Hero 6,USA,Disney,Don Hall,Male,3D,165000000.0,657800000.0,492800000.0,298.67%,1
2016,Inside Out,USA,Pixar,Pete Docter,Male,3D,175000000.0,858800000.0,683800000.0,390.74%,1
2017,Zootopia,USA,Disney,Rich Moore,Male,3D,150000000.0,1025000000.0,875000000.0,583.33%,1
2018,Coco,USA,Pixar,Lee Unkrich,Male,3D,175000000.0,814300000.0,639300000.0,365.31%,1
2019,Spiderman: Into the Spiderverse,USA,Sony,Chris Miller,Male,3D,90000000.0,384300000.0,294300000.0,327.00%,1
2020,Toy Story 4,USA,Pixar,Josh Cooley,Male,3D,200000000.0,1073000000.0,873000000.0,436.50%,1
2021,Soul,USA,Pixar,Pete Docter,Male,3D,150000000.0,122200000.0,27800000.0,-18.53%,1
2022,Encanto,USA,Disney,Byron Howard,Male,3D,120000000.0,256800000.0,136800000.0,114.00%,1
2023,Pinocchio,USA,Netflix,Guillermo del Toro,Male,Stopmotion,35000000.0,109846.0,34890154.0,-99.69%,1
2024,The Boy and the Heron,Japan,Studio Ghibli,Hayao Miyazaki,Male,2D,,167800000.0,,#VALUE!,1
